,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Yellowknife,5,CA,"Jan 07, 2020",66,62.45,-114.38,-32,1.5
1,Saint George,20,GR,"Jan 07, 2020",74,39.45,22.34,34,3.1
2,Shingu,75,JP,"Jan 07, 2020",63,33.72,135.99,61,4.1
3,Avarua,81,CK,"Jan 07, 2020",78,-21.21,-159.78,83,4.6
4,Chokurdakh,20,RU,"Jan 07, 2020",96,70.62,147.9,-26,2.51
5,Atuona,37,PF,"Jan 07, 2020",75,-9.8,-139.03,82,7.17
6,Vaitape,9,PF,"Jan 07, 2020",79,-16.52,-151.75,82,9.24
7,Nikolskoye,90,RU,"Jan 07, 2020",86,59.7,30.79,38,4.0
8,Touros,75,BR,"Jan 07, 2020",88,-5.2,-35.46,79,1.0
9,Salalah,20,OM,"Jan 07, 2020",50,17.01,54.1,75,3.1
10,Qaanaaq,25,GL,"Jan 07, 2020",89,77.48,-69.36,-25,1.79
11,Punta Arenas,40,CL,"Jan 07, 2020",70,-53.16,-70.91,48,4.1
12,Popondetta,100,PG,"Jan 07, 2020",91,-8.77,148.24,74,1.33
13,Bagdarin,0,RU,"Jan 07, 2020",82,54.44,113.59,9,0.3
14,Barrow,0,AR,"Jan 07, 2020",41,-38.31,-60.23,69,5.45
15,Victoria,75,BN,"Jan 07, 2020",70,5.28,115.24,88,4.1
16,Chase,1,US,"Jan 07, 2020",55,38.35,-98.35,38,2.1
17,Vallenar,0,CL,"Jan 07, 2020",89,-28.58,-70.76,55,0.24
18,Erdenet,0,MN,"Jan 07, 2020",82,49.03,104.04,2,1.17
19,Rikitea,0,PF,"Jan 07, 2020",80,-23.12,-134.97,77,8.53
20,Chapais,90,CA,"Jan 07, 2020",92,49.78,-74.86,16,2.6
21,Albany,90,US,"Jan 07, 2020",89,42.65,-73.75,33,0.66
22,Namatanai,35,PG,"Jan 07, 2020",75,-3.66,152.44,85,5.56
23,Kaitangata,93,NZ,"Jan 07, 2020",72,-46.28,169.85,58,3.13
24,Benton Harbor,75,US,"Jan 07, 2020",47,42.12,-86.45,35,5.7
25,Port Alfred,100,ZA,"Jan 07, 2020",98,-33.59,26.89,69,4.13
26,Geraldton,75,CA,"Jan 07, 2020",76,49.72,-86.95,-4,3.1
27,Muros,75,ES,"Jan 07, 2020",100,42.77,-9.06,56,2.1
28,Laguna,90,BZ,"Jan 07, 2020",100,16.17,-88.94,70,0.57
29,Tasiilaq,40,GL,"Jan 07, 2020",49,65.61,-37.64,-1,7.48
30,Provideniya,0,RU,"Jan 07, 2020",89,64.42,-173.23,-11,0.47
31,Oksfjord,75,NO,"Jan 07, 2020",74,70.24,22.35,38,14.9
